(142.4657,178.6703,-23.1616,87.6896,0.0000,0.0000,0,1.0000),
(167.3314,209.6563,57.5029,87.6631,0.0000,0.0000,0,1.0000),
(26.4135,251.6539,35.0000,118.7200,0.0000,0.0000,0,1.0000),
(26.4135,251.6539,15.0000,118.7200,0.5000,0.5000,0,1.0000),
(26.4135,251.6539,15.0000,118.7200,0.5000,0.5000,1,1.0000),
(26.4135,251.6539,35.0000,118.7200,0.0000,0.0000,1,1.0000),
(167.3314,209.6563,57.5029,87.6631,0.0000,0.0000,1,1.0000),
(167.3314,209.6563,57.5029,-90.0000,0.0000,0.0000,1,1.0000),
(202.8835,122.9131,45.0000,-118.7912,0.0000,0.0000,1,1.0000),
(202.8835,122.9131,11.5000,-118.7912,0.5000,0.5000,1,1.0000),
(202.8835,122.9131,11.5000,-118.7912,0.5000,0.5000,0,1.0000),
(202.8835,122.9131,45.0000,-118.7912,0.0000,0.0000,0,1.0000),
(142.4657,178.6703,-23.1616,87.6896,0.0000,0.0000,0,1.0000)
